City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
568,Broome,US,73.71,42.2506,-75.833,Chenango Valley State Park
569,Nemuro,JP,84.63,43.3236,145.575,Hotel Nemuro Kaiyoutei
570,Santa Rosalia,MX,85.77,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
571,Mayor Pablo Lagerenza,PY,74.89,-19.9309,-60.7718,
572,Spirit River,CA,68.52,55.7833,-118.8361,Motel 49
574,Antalaha,MG,69.78,-14.9003,50.2788,Hotel Vitasoa
575,Umbauba,BR,66.94,-11.3833,-37.6578,Motel Califórnia
577,Thunder Bay,CA,69.78,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
578,Mbaiki,CF,67.95,3.8678,17.9892,
579,Turukhansk,RU,78.04,65.8167,87.9833,"ООО ""Туруханская пушнина"""
581,Andradina,BR,65.12,-20.8961,-51.3794,DELTA HOTEL
582,Ialibu,PG,70.43,-6.2821,143.9935,Eastwood Guesthouse
583,Palu,ID,92.1,-0.8917,119.8707,Hotel Santika Palu
584,Sarny,UA,65.16,51.338,26.6019,Luxury Square
586,Salaga,GH,75.11,8.5508,-0.5188,Bore Nada Guest House
588,Bima,ID,92.16,-8.4667,118.7167,Lambitu Hotel
589,Tumanyan,AM,66.45,40.9894,44.6586,Asha Hotel
590,Slonim,BY,64.47,53.0867,25.3219,Hostel on Brestskaya 107
591,Shetpe,KZ,81.55,44.1667,52.1167,Rtsm Shetpe Analog
593,Chulman,RU,67.08,56.8479,124.9104,Gostinitsa
594,Biltine,TD,77.81,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
595,Sibut,CF,68.22,5.718,19.0739,
596,Caramay,PH,87.13,10.1815,119.236,Peace and Love Beach Club
598,Sattahip,TH,86.92,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
599,Kenitra,MA,70.56,34.261,-6.5802,Bienvenue chez vous
600,Tenenkou,ML,82.62,14.4572,-4.9169,
601,Zima,RU,79.93,53.9202,102.0442,
603,Tambura,SS,66.0,5.6,27.4667,Rikito Lodge
604,Kamaishi,JP,88.75,39.2667,141.8833,Hotel Route Inn Kamaishi
605,Smirnykh,RU,93.56,49.75,142.8333,Tsentral'naya
607,Taua,BR,70.88,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
608,Ginda,IN,70.05,30.6945,78.4932,Bal uma sankar hotel and restaurant
609,Berlin,DE,70.99,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
610,Yerbogachen,RU,80.29,61.2767,108.0108,
612,Carauari,BR,73.67,-4.8828,-66.8958,Hotel Fellip
613,Kuandian,CN,86.32,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
614,Yulara,AU,64.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
616,Zabid,YE,81.95,14.1951,43.3152,دار الضيافة
617,Chichihualco,MX,65.59,17.6833,-99.65,Hotel Casa Blanca
618,Emerald,AU,74.34,-23.5333,148.1667,The Irish Village
620,Harrisonville,US,84.34,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
623,Lloydminster,CA,67.68,53.2835,-110.0016,BCMInns - Lloydminster
628,Agadez,NE,82.71,19.75,10.25,
629,Bengkulu,ID,85.15,-3.8004,102.2655,Grage Hotel Bengkulu
632,Rio Brilhante,BR,67.75,-21.8019,-54.5464,Hotel Cattani
635,Shu,KZ,94.28,43.5983,73.7614,Shyngyzkhan
